geo_accession,day1_PRS
GSM2740674,1.979806283954531
GSM2740676,1.8360209388192743
GSM2740679,1.8019454022869468
GSM2740663,1.7726763819810003
GSM2740685,1.5209882617928088
GSM2740693,1.4075580092612654
GSM2740682,1.3680553208105266
GSM2740678,1.2942371033132076
GSM2740686,0.938892224105075
GSM2740684,0.9110306650400162
GSM2740694,0.8255861063953489
GSM2740665,0.7283474009018391
GSM2740704,0.644447335973382
GSM2740700,0.3146446442697197
GSM2740660,0.23198370984755456
GSM2740699,0.10663649230264127
GSM2740670,0.05233150138519704
GSM2740664,0.0011187028139829636
GSM2740703,-0.015289694536477327
GSM2740671,-0.16935740900225937
GSM2740667,-0.24013521801680326
GSM2740668,-0.2822702315170318
GSM2740687,-0.3051253892481327
GSM2740692,-0.42400600807741284
GSM2740683,-0.4241934868041426
GSM2740669,-0.4299103207886219
GSM2740688,-0.43373738951049745
GSM2740697,-0.5250768766272813
GSM2740659,-0.9563063487876207
GSM2740690,-1.0518188106361777
GSM2740681,-1.075611493550241
GSM2740677,-1.0775682104285806
GSM2740675,-1.2422939827665687
GSM2740666,-1.5547798161860555
GSM2740698,-1.5686699592042714
GSM2740661,-1.6159258370753378
GSM2740672,-1.7912898522336036
GSM2740696,-1.7914709420874715
GSM2740662,-1.8621724664699286
GSM2740701,-1.8691016705706716
GSM2740702,-1.9198945683892816
GSM2740658,-1.9568330068141222
GSM2740673,-2.061267478391528
GSM2740689,-2.214590375777334
GSM2740691,-2.4663918553851545
GSM2740680,-2.478813336463645
GSM2740657,-2.7508925886359066
GSM2740695,-2.8781592468731105
